Date,258_0_RV,259_0_RV,260_0_RV,260_1038_RV,260_1039_RV,260_1040_RV,261_0_RV,265_0_RV,266_0_RV,269_0_RV,270_0_RV,273_0_RV,273_278_RV,273_279_RV,273_280_RV,273_281_RV,50_0_RV,50_224_RV,50_225_RV,50_226_RV,50_227_RV,50_228_RV,854_0_RV
3/16/17,19076,92352.079,34611.2,30534.4,4076.8,0,2464,85092.409,22622.4,61774.54,8064,2946.6,0,0,0,2946.6,290778.1,149350.74,3981.82,121448.18,1336.36,14661,451.2
3/17/17,17148.8,57361.4,56105.6,51220,4885.6,0,3319.65,101831.989,32220,94440.91,9724,1643.2,0,0,0,1643.2,210927.61,82475.34,8800,114413.64,0,5238.64,1030.4
3/18/17,19095,91766.839,0,0,0,0,1287.83,119687.599,146697.6,31818.18,8480,5673.84,0,0,0,2473.84,216532.63,99080.81,7945.45,101831.81,0,7674.55,2102
3/19/17,8552,10262,0,0,0,0,4367.83,61097.12,0,0,320,0,0,0,0,0,119064.89,50523.98,2767.28,56513.64,1709.09,7550.91,432.8
3/20/17,14348,34716.359,50949.6,46192.8,4756.8,0,147.83,57438.41,113279.2,88804.54,2304,3164,0,0,0,3164,234022.02,142161.1,14095.46,65195.45,2936.36,9633.64,1655.2
3/21/17,19490.6,52783.837,59991.2,54412,5579.2,0,1774.09,75426.24,28279.2,102470,5808,276,0,0,0,276,311670.76,245392.58,10627.27,39962.73,6054.55,9633.64,3985.439
3/22/17,19492,91974.28,103327.2,92628,10699.2,0,3247.83,86808.568,164586.399,162222.73,1920,1855.4,0,0,0,965.4,271294.68,138296.5,10122.73,89121.82,14580.91,18282.73,832
3/23/17,11016,63800.408,37841.6,33788,4053.6,0,2505.04,72154.399,223642.4,127260.91,4336,723.2,0,0,0,723.2,163772.48,107632.49,2127.27,47630,786.36,5596.36,702
3/24/17,18889.6,46784.82,35129.6,30508,4621.6,0,2209.21,93811.347,80422.4,45493.64,5600,2300,0,0,0,0,174509.31,93263.04,6342.27,52086.36,9481.82,11035.82,51980.24
3/25/17,20744,64885.408,50361.6,45416,4945.6,0,1545.91,96092.819,177083.2,37763.63,3200,7543.2,0,0,0,153.2,222215.41,77984.95,8245.45,110054.55,9481.82,15458.64,1606.4
3/26/17,4624,2775.2,46137.6,42120,4017.6,0,5795.66,41379.2,1847.2,25511.82,512,0,0,0,0,0,60453.76,35096.94,4757.73,13777.27,0,6821.82,997.6
3/27/17,13368,32924.408,3216.8,2460,756.8,0,1269.22,56448.799,52976.8,36731.82,2624,1234,0,0,0,344,225827.94,117083.39,11880.46,93759.09,0,2215,2069.6
3/28/17,17732,90344.799,46084,40581.6,5502.4,0,5256.87,82073.188,43527.2,150239.09,5376,931,0,0,0,931,323176.16,153883.89,1045.45,159875.46,0,8371.36,7.2
